170,0.15384615384615385,7,0
171,0.15384615384615385,7,0
172,0.15384615384615385,7,0
173,0.15384615384615385,7,0
174,0.15384615384615385,7,0
175,0.15384615384615385,7,0
176,0.15384615384615385,7,0
177,0.15384615384615385,7,0
178,0.15384615384615385,7,0
179,0.15384615384615385,7,0
180,0.15384615384615385,7,0
181,0.15384615384615385,7,0
182,0.15384615384615385,7,0
183,0.15384615384615385,7,0
184,0.15384615384615385,7,0
185,0.15384615384615385,7,0
186,0.15384615384615385,7,0
187,0.15384615384615385,7,0
188,0.15384615384615385,7,0
189,0.15384615384615385,7,0
190,0.15384615384615385,7,0
191,0.15384615384615385,7,0
192,0.15384615384615385,7,0
193,0.15384615384615385,7,0
194,0.15384615384615385,7,0
195,0.15384615384615385,7,0
196,0.15384615384615385,7,0
197,0.15384615384615385,7,0
198,0.15384615384615385,7,0
199,0.15384615384615385,7,0
200,0.15384615384615385,7,0
201,0.15384615384615385,7,0
202,0.15384615384615385,7,0
203,0.15384615384615385,7,0
204,0.15384615384615385,7,0
205,0.15384615384615385,7,0
206,0.15384615384615385,7,0
207,0.15384615384615385,7,0
208,0.15384615384615385,7,0
209,0.15384615384615385,7,0
210,0.15384615384615385,7,0
211,0.15384615384615385,7,0
212,0.15384615384615385,7,0
213,0.15384615384615385,7,0
214,0.15384615384615385,7,0
215,0.15384615384615385,7,0
216,0.15384615384615385,7,0
217,0.15384615384615385,7,0
218,0.15384615384615385,7,0
219,0.15384615384615385,7,0
220,0.15384615384615385,7,0
221,0.15384615384615385,7,0
222,0.15384615384615385,7,0
223,0.15384615384615385,7,0
224,0.15384615384615385,7,0
225,0.15384615384615385,7,0
226,0.15384615384615385,7,0
227,0.15384615384615385,7,0
228,0.15384615384615385,7,0
229,0.15384615384615385,7,0
230,0.15384615384615385,7,0
231,0.15384615384615385,7,0
232,0.15384615384615385,7,0
233,0.15384615384615385,7,0
234,0.15384615384615385,7,0
235,0.15384615384615385,7,0
236,0.15384615384615385,7,0
237,0.15384615384615385,7,0
238,0.15384615384615385,7,0
239,0.15384615384615385,7,0
240,0.15384615384615385,7,0
241,0.15384615384615385,7,0
242,0.15384615384615385,7,0
243,0.15384615384615385,7,0
244,0.15384615384615385,7,0
245,0.15384615384615385,7,0
246,0.15384615384615385,7,0
247,0.15384615384615385,7,0
248,0.15384615384615385,7,0
249,0.15384615384615385,7,0
250,0.15384615384615385,7,0
251,0.15384615384615385,7,0
252,0.15384615384615385,7,0
253,0.15384615384615385,7,0
254,0.15384615384615385,7,0
255,0.15384615384615385,7,0
256,0.15384615384615385,7,0
257,0.15384615384615385,7,0
258,0.15384615384615385,7,0
259,0.15384615384615385,7,0
260,0.15384615384615385,7,0
261,0.15384615384615385,7,0
262,0.15384615384615385,7,0
263,0.15384615384615385,7,0
264,0.15384615384615385,7,0
265,0.15384615384615385,7,0
266,0.15384615384615385,7,0
267,0.15384615384615385,7,0
268,0.15384615384615385,7,0
269,0.15384615384615385,7,0
270,0.15384615384615385,7,0
271,0.15384615384615385,7,0
272,0.15384615384615385,7,0
273,0.15384615384615385,7,0
274,0.15384615384615385,7,0
275,0.15384615384615385,7,0
276,0.15384615384615385,7,0
277,0.15384615384615385,7,0
278,0.15384615384615385,7,0
279,0.15384615384615385,7,0
280,0.15384615384615385,7,0
281,0.15384615384615385,7,0
282,0.15384615384615385,7,0
283,0.15384615384615385,7,0
284,0.15384615384615385,7,0
285,0.15384615384615385,7,0
286,0.15384615384615385,7,0
287,0.15384615384615385,7,0
288,0.15384615384615385,7,0
289,0.15384615384615385,7,0
290,0.15384615384615385,7,0
291,0.15384615384615385,7,0
292,0.15384615384615385,7,0
293,0.15384615384615385,7,0
294,0.15384615384615385,7,0
295,0.15384615384615385,7,0
296,0.15384615384615385,7,0
297,0.15384615384615385,7,0
298,0.15384615384615385,7,0
299,0.15384615384615385,7,0
300,0.15384615384615385,7,0
301,0.15384615384615385,7,0
302,0.15384615384615385,7,0
303,0.15384615384615385,7,0
304,0.15384615384615385,7,0
305,0.15384615384615385,7,0
306,0.15384615384615385,7,0
307,0.15384615384615385,7,0
308,0.15384615384615385,7,0
309,0.15384615384615385,7,0
310,0.15384615384615385,7,0
311,0.15384615384615385,7,0
312,0.15384615384615385,7,0
313,0.15384615384615385,7,0
314,0.15384615384615385,7,0
315,0.15384615384615385,7,0
316,0.15384615384615385,7,0
317,0.15384615384615385,7,0
318,0.15384615384615385,7,0
319,0.15384615384615385,7,0
320,0.15384615384615385,7,0
321,0.15384615384615385,7,0
322,0.15384615384615385,7,0
323,0.15384615384615385,7,0
324,0.15384615384615385,7,0
325,0.15384615384615385,7,0
326,0.15384615384615385,7,0
327,0.15384615384615385,7,0
328,0.15384615384615385,7,0
329,0.15384615384615385,7,0
330,0.15384615384615385,7,0
331,0.15384615384615385,7,0
332,0.15384615384615385,7,0
333,0.15384615384615385,7,0
334,0.15384615384615385,7,0
335,0.15384615384615385,7,0
336,0.15384615384615385,7,0
337,0.15384615384615385,7,0
338,0.15384615384615385,7,0
339,0.15384615384615385,7,0
340,0.15384615384615385,7,0
341,0.15384615384615385,7,0
342,0.15384615384615385,7,0
343,0.15384615384615385,7,0
344,0.15384615384615385,7,0
345,0.15384615384615385,7,0
346,0.15384615384615385,7,0
347,0.15384615384615385,7,0
348,0.15384615384615385,7,0
349,0.15384615384615385,7,0
350,0.15384615384615385,7,0
351,0.15384615384615385,7,0
352,0.15384615384615385,7,0
353,0.15384615384615385,7,0
354,0.15384615384615385,7,0
355,0.15384615384615385,7,0
356,0.15384615384615385,7,0
357,0.15384615384615385,7,0
358,0.15384615384615385,7,0
359,0.15384615384615385,7,0
360,0.15384615384615385,7,0
361,0.15384615384615385,7,0
362,0.15384615384615385,7,0
363,0.15384615384615385,7,0
364,0.15384615384615385,7,0
365,0.15384615384615385,7,0
366,0.15384615384615385,7,0
367,0.15384615384615385,7,0
368,0.15384615384615385,7,0
369,0.15384615384615385,7,0
370,0.15384615384615385,7,0
371,0.15384615384615385,7,0
372,0.15384615384615385,7,0
373,0.15384615384615385,7,0
374,0.15384615384615385,7,0
375,0.15384615384615385,7,0
376,0.15384615384615385,7,0
377,0.15384615384615385,7,0
378,0.15384615384615385,7,0
379,0.15384615384615385,7,0
380,0.15384615384615385,7,0
381,0.15384615384615385,7,0
382,0.15384615384615385,7,0
383,0.15384615384615385,7,0
384,0.15384615384615385,7,0
385,0.15384615384615385,7,0
386,0.15384615384615385,7,0
387,0.15384615384615385,7,0
388,0.15384615384615385,7,0
389,0.15384615384615385,7,0
390,0.15384615384615385,7,0
391,0.15384615384615385,7,0
392,0.15384615384615385,7,0
393,0.15384615384615385,7,0
394,0.15384615384615385,7,0
395,0.15384615384615385,7,0
396,0.15384615384615385,7,0
397,0.15384615384615385,7,0
398,0.15384615384615385,7,0
399,0.15384615384615385,7,0
400,0.15384615384615385,7,0
401,0.15384615384615385,7,0
402,0.15384615384615385,7,0
403,0.15384615384615385,7,0
404,0.15384615384615385,7,0
405,0.15384615384615385,7,0
406,0.15384615384615385,7,0
407,0.15384615384615385,7,0
408,0.15384615384615385,7,0
409,0.15384615384615385,7,0
410,0.15384615384615385,7,0
411,0.15384615384615385,7,0
412,0.15384615384615385,7,0
413,0.15384615384615385,7,0
414,0.15384615384615385,7,0
415,0.15384615384615385,7,0
416,0.15384615384615385,7,0
417,0.15384615384615385,7,0
418,0.15384615384615385,7,0
419,0.15384615384615385,7,0
420,0.15384615384615385,7,0
421,0.15384615384615385,7,0
422,0.15384615384615385,7,0
423,0.15384615384615385,7,0
424,0.15384615384615385,7,0
425,0.15384615384615385,7,0
426,0.15384615384615385,7,0
427,0.15384615384615385,7,0
428,0.15384615384615385,7,0
429,0.15384615384615385,7,0
430,0.15384615384615385,7,0
431,0.15384615384615385,7,0
432,0.15384615384615385,7,0
433,0.15384615384615385,7,0
434,0.15384615384615385,7,0
435,0.15384615384615385,7,0
436,0.15384615384615385,7,0
437,0.15384615384615385,7,0
438,0.15384615384615385,7,0
439,0.15384615384615385,7,0
440,0.15384615384615385,7,0
441,0.15384615384615385,7,0
442,0.15384615384615385,7,0
443,0.15384615384615385,7,0
444,0.15384615384615385,7,0
445,0.15384615384615385,7,0
446,0.15384615384615385,7,0
447,0.15384615384615385,7,0
448,0.15384615384615385,7,0
449,0.15384615384615385,7,0
450,0.15384615384615385,7,0
451,0.15384615384615385,7,0
452,0.15384615384615385,7,0
453,0.15384615384615385,7,0
454,0.15384615384615385,7,0
455,0.15384615384615385,7,0
456,0.15384615384615385,7,0
457,0.15384615384615385,7,0
458,0.15384615384615385,7,0
459,0.15384615384615385,7,0
460,0.15384615384615385,7,0
461,0.15384615384615385,7,0
462,0.15384615384615385,7,0
463,0.15384615384615385,7,0
464,0.15384615384615385,7,0
465,0.15384615384615385,7,0
466,0.15384615384615385,7,0
467,0.15384615384615385,7,0
468,0.15384615384615385,7,0
469,0.15384615384615385,7,0
470,0.15384615384615385,7,0
471,0.15384615384615385,7,0
472,0.15384615384615385,7,0
473,0.15384615384615385,7,0
474,0.15384615384615385,7,0
475,0.15384615384615385,7,0
476,0.15384615384615385,7,0
477,0.15384615384615385,7,0
478,0.15384615384615385,7,0
479,0.15384615384615385,7,0
480,0.15384615384615385,7,0
481,0.15384615384615385,7,0
482,0.15384615384615385,7,0
483,0.15384615384615385,7,0
484,0.15384615384615385,7,0
485,0.15384615384615385,7,0
486,0.15384615384615385,7,0
487,0.15384615384615385,7,0
488,0.15384615384615385,7,0
489,0.15384615384615385,7,0
490,0.15384615384615385,7,0
491,0.15384615384615385,7,0
492,0.15384615384615385,7,0
493,0.15384615384615385,7,0
494,0.15384615384615385,7,0
495,0.15384615384615385,7,0
496,0.15384615384615385,7,0
497,0.15384615384615385,7,0
498,0.15384615384615385,7,0
499,0.15384615384615385,7,0
500,0.15384615384615385,7,0
501,0.15384615384615385,7,0
502,0.15384615384615385,7,0
503,0.15384615384615385,7,0
504,0.15384615384615385,7,0
505,0.15384615384615385,7,0
506,0.15384615384615385,7,0
507,0.15384615384615385,7,0
508,0.15384615384615385,7,0
509,0.15384615384615385,7,0
510,0.15384615384615385,7,0
511,0.15384615384615385,7,0
512,0.15384615384615385,7,0
513,0.15384615384615385,7,0
514,0.15384615384615385,7,0
515,0.15384615384615385,7,0
516,0.15384615384615385,7,0
517,0.15384615384615385,7,0
518,0.15384615384615385,7,0
519,0.15384615384615385,7,0
520,0.15384615384615385,7,0
521,0.15384615384615385,7,0
522,0.15384615384615385,7,0
523,0.15384615384615385,7,0
524,0.15384615384615385,7,0
525,0.15384615384615385,7,0
526,0.15384615384615385,7,0
527,0.15384615384615385,7,0
528,0.15384615384615385,7,0
529,0.15384615384615385,7,0
530,0.15384615384615385,7,0
531,0.15384615384615385,7,0
532,0.15384615384615385,7,0
533,0.15384615384615385,7,0
534,0.15384615384615385,7,0
535,0.15384615384615385,7,0
536,0.15384615384615385,7,0
537,0.15384615384615385,7,0
538,0.15384615384615385,7,0
539,0.15384615384615385,7,0
540,0.15384615384615385,7,0
541,0.15384615384615385,7,0
542,0.15384615384615385,7,0
543,0.15384615384615385,7,0
544,0.15384615384615385,7,0
545,0.15384615384615385,7,0
546,0.15384615384615385,7,0
547,0.15384615384615385,7,0
548,0.15384615384615385,7,0
549,0.15384615384615385,7,0
550,0.15384615384615385,7,0
551,0.15384615384615385,7,0
552,0.15384615384615385,7,0
553,0.15384615384615385,7,0
554,0.15384615384615385,7,0
555,0.15384615384615385,7,0
556,0.15384615384615385,7,0
557,0.15384615384615385,7,0
558,0.15384615384615385,7,0
559,0.15384615384615385,7,0
560,0.15384615384615385,7,0
561,0.15384615384615385,7,0
562,0.15384615384615385,7,0
563,0.15384615384615385,7,0
564,0.15384615384615385,7,0
565,0.15384615384615385,7,0
566,0.15384615384615385,7,0
567,0.15384615384615385,7,0
568,0.15384615384615385,7,0
569,0.15384615384615385,7,0
570,0.15384615384615385,7,0
571,0.15384615384615385,7,0
572,0.15384615384615385,7,0
573,0.15384615384615385,7,0
574,0.15384615384615385,7,0
575,0.15384615384615385,7,0
576,0.15384615384615385,7,0
577,0.15384615384615385,7,0
578,0.15384615384615385,7,0
579,0.15384615384615385,7,0
580,0.15384615384615385,7,0
581,0.15384615384615385,7,0
582,0.15384615384615385,7,0
583,0.15384615384615385,7,0
584,0.15384615384615385,7,0
585,0.15384615384615385,7,0
586,0.15384615384615385,7,0
587,0.15384615384615385,7,0
588,0.15384615384615385,7,0
589,0.15384615384615385,7,0
590,0.15384615384615385,7,0
591,0.15384615384615385,7,0
592,0.15384615384615385,7,0
593,0.15384615384615385,7,0
594,0.15384615384615385,7,0
595,0.15384615384615385,7,0
596,0.15384615384615385,7,0
597,0.15384615384615385,7,0
598,0.15384615384615385,7,0
599,0.15384615384615385,7,0
600,0.15384615384615385,7,0
